?,name,season,result,match,fiston,time,shot,shot_mz,shot_times,threepoint,three_mz,three_times,faqiu,faqiu_mz,faqiu_times,dumps,front,back,ass,steal,gm,mis,fg,point,
1,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,Ä§Êõ107-114»ð¼ý,1,46,63.3%,19,30,35.7%,5,14,94.4%,17,18,10,2,8,11,4,1,5,2,60,
2,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,¾ôÊ¿110-137»ð¼ý,1,35,76.0%,19,25,87.5%,7,8,91.7%,11,12,2,0,2,13,2,0,7,3,56,
3,Õ²Ä·Ë¹-¹þµÇ,17-18,¸º,ºþÈË122-116»ð¼ý,1,43,55.6%,15,27,66.7%,4,6,81.0%,17,21,3,0,3,9,1,1,6,5,51,
4,Õ²Ä·Ë¹-¹þµÇ,17-18,¸º,¿ì´¬128-118»ð¼ý,1,41,53.6%,15,28,42.9%,6,14,93.8%,15,16,4,0,4,8,3,0,8,6,51,
5,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,Ì«Ñô116-142»ð¼ý,1,35,54.5%,12,22,54.5%,6,11,100.0%,18,18,2,0,2,7,2,1,5,3,48,
6,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,¿ªÍØÕß117-124»ð¼ý,1,37,55.2%,16,29,57.1%,4,7,85.7%,12,14,8,1,7,3,3,0,2,2,48,
7,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,¿ªÍØÕß111-115»ð¼ý,1,33,52.0%,13,25,71.4%,5,7,73.3%,11,15,6,0,6,7,0,0,4,3,42,
8,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,ÈÈ»ð101-109»ð¼ý,1,36,52.0%,13,25,41.7%,5,12,83.3%,10,12,4,0,4,6,3,1,4,2,41,
9,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,¾ò½ð114-119»ð¼ý,1,37,55.0%,11,20,60.0%,6,10,81.3%,13,16,8,1,7,7,1,0,5,2,41,
10,Õ²Ä·Ë¹-¹þµÇ,17-18,Ê¤,ºþÈË142-148»ð¼ý,1,41,50.0%,10,20,37.5%,3,8,81.0%,17,21,2,0,2,11,2,2,1,2,40,
11,Õ²Ä·Ë¹-¹þµÇ,17-18,¸º,ÃÍÁú108-105»ð¼ý,1,33,68.2%,15,22,50.0%,4,8,85.7%,6,7,2,0,2,4,0,1,4,1,40,
